product,brand,category,sub_category,description,text
"Original Masala Chai Tea - Ginger, Cinnamon & Cardamom, Long Leaf, Pyramid Bags",Sancha,Gourmet & World Food,Drinks & Beverages,"100% Biodegradable- Environment-friendly Tea Bags. Remarkably Spicy & Fruity Fresh black tea from select estates of India blended with the choicest spices from the Malabar coast. This legendary beverage from SAN-CHA has long captivated travellers across the world owing to its lively, and refreshing blend of black tea and mild aromatic fresh spices; Ginger, Cinnamon & Cardamom.

Ingredients: Black Tea, Crushed Cardamom Pods, Crushed Cinnamon Bark & Powdered Ginger
Healthy Benefits: Helps build Immunity, Keeps the Heart Healthy and aids in Digestions
Caffeine Levels: High
Master Tea Tasters Notes: Intensely Spicy with notes of Fruit, a beautiful marriage of a malty tea with fresh spice notes of cinnamon, cardamom & ginger.
Time to Enjoy this Brew: The Morning Breakfast Tea or the Evening Refresher","Original Masala Chai Tea - Ginger, Cinnamon & Cardamom, Long Leaf, Pyramid Bags Sancha Gourmet & World Food Drinks & Beverages 100% Biodegradable- Environment-friendly Tea Bags. Remarkably Spicy & Fruity Fresh black tea from select estates of India blended with the choicest spices from the Malabar coast. This legendary beverage from SAN-CHA has long captivated travellers across the world owing to its lively, and refreshing blend of black tea and mild aromatic fresh spices; Ginger, Cinnamon & Cardamom.

Ingredients: Black Tea, Crushed Cardamom Pods, Crushed Cinnamon Bark & Powdered Ginger
Healthy Benefits: Helps build Immunity, Keeps the Heart Healthy and aids in Digestions
Caffeine Levels: High
Master Tea Tasters Notes: Intensely Spicy with notes of Fruit, a beautiful marriage of a malty tea with fresh spice notes of cinnamon, cardamom & ginger.
Time to Enjoy this Brew: The Morning Breakfast Tea or the Evening Refresher"
Clear Complexion Brightening Face Wash,Himalaya,Beauty & Hygiene,Skin Care,"Himalaya Clear Complexion Whitening Face Wash essentially removes dark spots, cleanses and clarifies impurities, revealing a clear, radiant and even complexion. Pomegranate is a rich source of polyphenols. It is reported to possess potent antioxidant and protective benefits against free radicals generated by the environment. Pomegranate softens, hydrates and nourishes the skin. Saffron imparts a rich colour and is used in various skin care preparations. It effectively Moisturises, soothes and promotes skin fairness. The crocin and crocetin present in Saffron promote a healthy complexion and whiten skin. Saffron is very effective in the treatment of acne, pimples, blemishes and black spots. Liquorice is known for its skin lightening and antioxidant properties. It improves skin tone and whitens skin. White Dammer is a rich source of flavonoids and phenols which exhibit potent antioxidant activity. It soothes and moisturises damaged skin and enhances and whitens the complexion.Tip: Following a regular skin care regime can help you achieve flawless skin. For more tips on skin care, visit bigbasket lifestyle blog, Click Here to visit bigbasket’s lifestyle blog","Clear Complexion Brightening Face Wash Himalaya Beauty & Hygiene Skin Care Himalaya Clear Complexion Whitening Face Wash essentially removes dark spots, cleanses and clarifies impurities, revealing a clear, radiant and even complexion. Pomegranate is a rich source of polyphenols. It is reported to possess potent antioxidant and protective benefits against free radicals generated by the environment. Pomegranate softens, hydrates and nourishes the skin. Saffron imparts a rich colour and is used in various skin care preparations. It effectively Moisturises, soothes and promotes skin fairness. The crocin and crocetin present in Saffron promote a healthy complexion and whiten skin. Saffron is very effective in the treatment of acne, pimples, blemishes and black spots. Liquorice is known for its skin lightening and antioxidant properties. It improves skin tone and whitens skin. White Dammer is a rich source of flavonoids and phenols which exhibit potent antioxidant activity. It soothes and moisturises damaged skin and enhances and whitens the complexion.Tip: Following a regular skin care regime can help you achieve flawless skin. For more tips on skin care, visit bigbasket lifestyle blog, Click Here to visit bigbasket’s lifestyle blog"
Chopping Board No.3 Wooden Colour,Ritu,"Kitchen, Garden & Pets",Kitchen Accessories,"Plastics boards are usually called PE (polyethylene) cutting boards, or HDPE (high-density polyethylene plastic), the material of which these boards are made. There are basically two types of HDPE boards being made. One version is made from injection-molded plastic, while the other is HDPE from an extrusion line.","Chopping Board No.3 Wooden Colour Ritu Kitchen, Garden & Pets Kitchen Accessories Plastics boards are usually called PE (polyethylene) cutting boards, or HDPE (high-density polyethylene plastic), the material of which these boards are made. There are basically two types of HDPE boards being made. One version is made from injection-molded plastic, while the other is HDPE from an extrusion line."
"Revivify - Hello Sun Mineral Sunscreen, SPF 25, PA+++",Joy,Beauty & Hygiene,Skin Care,"This Joy mineral sunscreen delivers broad-spectrum protection with ‘Safest Reflectance Technology’. It provides physical UV protection, helps calm redness and safeguards the skin against photo-ageing. The Zinc Oxide UV protection creates a physical barrier on the surface of the skin without leaving any greasy residue which is commonly found in most of the usual sunscreen formulas. It also helps keep your skin hydrated and gradually reduces the appearance of dark patches, thus lightening your skin. It is a dermatologically tested product. Discontinue use if skin irritation or rashes occur.","Revivify - Hello Sun Mineral Sunscreen, SPF 25, PA+++ Joy Beauty & Hygiene Skin Care This Joy mineral sunscreen delivers broad-spectrum protection with ‘Safest Reflectance Technology’. It provides physical UV protection, helps calm redness and safeguards the skin against photo-ageing. The Zinc Oxide UV protection creates a physical barrier on the surface of the skin without leaving any greasy residue which is commonly found in most of the usual sunscreen formulas. It also helps keep your skin hydrated and gradually reduces the appearance of dark patches, thus lightening your skin. It is a dermatologically tested product. Discontinue use if skin irritation or rashes occur."
Happy Moisturising Hand Wash - Grapefruit & Bergamot,Fiama,Beauty & Hygiene,Bath & Hand Wash,"Fiama liquid handwash contains fragrance that is proven to make you feel fresh. The gel formulation contains skin conditioners that make your hands soft and has natural germ protection to keep your hands safe. Available in 3 variants; happy, relax, and fresh.","Happy Moisturising Hand Wash - Grapefruit & Bergamot Fiama Beauty & Hygiene Bath & Hand Wash Fiama liquid handwash contains fragrance that is proven to make you feel fresh. The gel formulation contains skin conditioners that make your hands soft and has natural germ protection to keep your hands safe. Available in 3 variants; happy, relax, and fresh."
Laundry Powder,Wild Ideas,Cleaning & Household,Detergents & Dishwash,"100% Natural cleanser for clean, soft and fragrant clothes. For Hand-Washing as well as Machine Wash (Front Load and Top Load).","Laundry Powder Wild Ideas Cleaning & Household Detergents & Dishwash 100% Natural cleanser for clean, soft and fragrant clothes. For Hand-Washing as well as Machine Wash (Front Load and Top Load)."
Ketchup - Tomato,Morton,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Morton Ketchup - Tomato 200 g,"Ketchup - Tomato Morton Snacks & Branded Foods Spreads, Sauces, Ketchup Morton Ketchup - Tomato 200 g"
Strong Blend,Jayanthi Coffee,Beverages,Coffee,Strong Blend from Jayanthi Coffee is a perfect blend of coffee roasted to a lovely chocolate brown to give a nutty finish which gives a pleasing aromatic taste for those who love coffee.,Strong Blend Jayanthi Coffee Beverages Coffee Strong Blend from Jayanthi Coffee is a perfect blend of coffee roasted to a lovely chocolate brown to give a nutty finish which gives a pleasing aromatic taste for those who love coffee.
Baby Shampoo - Gentle,Himalaya Baby,Baby Care,Baby Bath & Hygiene,"A Specially formulated mild shampoo that gently cleanes the hair making it soft, shiny and easy to manage. Hibiscus extract Softens hair, natural protein fron Chickpea gives shine and Khus-Khus cools the scalp.","Baby Shampoo - Gentle Himalaya Baby Baby Care Baby Bath & Hygiene A Specially formulated mild shampoo that gently cleanes the hair making it soft, shiny and easy to manage. Hibiscus extract Softens hair, natural protein fron Chickpea gives shine and Khus-Khus cools the scalp."
Aloe Vera Carrier Gel,INATUR ,Beauty & Hygiene,Skin Care,"Inatur Aloe Vera Gel is enriched with 100% pure aloe vera known for its healing properties. It can be used to treat sunburn, moisturize skin, soothe irritation, prevent skin ageing, treat sunburn and give a radiant glow to the skin. The glycerin contained in it helps to soothe dryness, deeply moisturizes, is a natural toner and gives a glowing skin. It is ideal for oily, normal and sensitive skin. It can be used as a skin primer.","Aloe Vera Carrier Gel INATUR  Beauty & Hygiene Skin Care Inatur Aloe Vera Gel is enriched with 100% pure aloe vera known for its healing properties. It can be used to treat sunburn, moisturize skin, soothe irritation, prevent skin ageing, treat sunburn and give a radiant glow to the skin. The glycerin contained in it helps to soothe dryness, deeply moisturizes, is a natural toner and gives a glowing skin. It is ideal for oily, normal and sensitive skin. It can be used as a skin primer."
Masoor Whole,Turn Organic ,"Foodgrains, Oil & Masala",Organic Staples,Masoor is probably the most commonly used Daal in India. It is basically the split lentil without skin and is red in color.,"Masoor Whole Turn Organic  Foodgrains, Oil & Masala Organic Staples Masoor is probably the most commonly used Daal in India. It is basically the split lentil without skin and is red in color."
Raw Chia Basil Seeds,True Elements,Gourmet & World Food,"Snacks, Dry Fruits, Nuts","True Elements brings to you Chia Basil Raw Seeds that are loaded with health benefits and nutrients. The basil seeds are a little larger than chia seeds but have a similar nutritional profile. Chia seeds contain more than twice the omega-3 fat but a little less fibre compared to basil seeds. They swell and form a gel when soaked. Chia seeds have no taste they adapt to any dish that they are added to. Basil seeds on the other hand have a mild flavour of basil. They can be used in smoothies and baked goods. It also can be sprinkled on a salad, porridges, ice cream, oatmeal, yoghurt, etc.
Benefits: 1. It is loaded with many health benefits and nutrients.
2. It is a great healthy meal option.
3. It is rich in antioxidants, dietary fibre and iron.","Raw Chia Basil Seeds True Elements Gourmet & World Food Snacks, Dry Fruits, Nuts True Elements brings to you Chia Basil Raw Seeds that are loaded with health benefits and nutrients. The basil seeds are a little larger than chia seeds but have a similar nutritional profile. Chia seeds contain more than twice the omega-3 fat but a little less fibre compared to basil seeds. They swell and form a gel when soaked. Chia seeds have no taste they adapt to any dish that they are added to. Basil seeds on the other hand have a mild flavour of basil. They can be used in smoothies and baked goods. It also can be sprinkled on a salad, porridges, ice cream, oatmeal, yoghurt, etc.
Benefits: 1. It is loaded with many health benefits and nutrients.
2. It is a great healthy meal option.
3. It is rich in antioxidants, dietary fibre and iron."
Perfumed Herbal Phenyle - White,Smart Home,Cleaning & Household,All Purpose Cleaners,"Smart Home Perfumed Herbal Phenyle has an advanced cleaning formula and can be used for cleaning floors, kitchen platforms, toilets, bathroom, sinks, tubs, tiles, marbles, granites with minimum efforts. The concentrated disinfectant kills up to 99.9% germs and instantly removes tough stains and dirt and gives a shine and whiteness to the floors. Further, it leaves behind a pleasant and natural fragrance that freshens up the complete environment. It is recommended to keep out of the reach of children.","Perfumed Herbal Phenyle - White Smart Home Cleaning & Household All Purpose Cleaners Smart Home Perfumed Herbal Phenyle has an advanced cleaning formula and can be used for cleaning floors, kitchen platforms, toilets, bathroom, sinks, tubs, tiles, marbles, granites with minimum efforts. The concentrated disinfectant kills up to 99.9% germs and instantly removes tough stains and dirt and gives a shine and whiteness to the floors. Further, it leaves behind a pleasant and natural fragrance that freshens up the complete environment. It is recommended to keep out of the reach of children."
Tomato - Cherry,Fresho,Fruits & Vegetables,Fresh Vegetables,"Having the size, colour and juiciness of cherries, cherry tomatoes are sweeter to taste than regular varieties. We pick these tomatoes from reputed farmers and store in hygienic conditions to maintain their freshness. Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/1504/tomato-feta-omelette/","Tomato - Cherry Fresho Fruits & Vegetables Fresh Vegetables Having the size, colour and juiciness of cherries, cherry tomatoes are sweeter to taste than regular varieties. We pick these tomatoes from reputed farmers and store in hygienic conditions to maintain their freshness. Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/1504/tomato-feta-omelette/"
All In One Max Dishwasher Tablets - Lemon,Finish,Cleaning & Household,All Purpose Cleaners,"Finish All in One Max Dishwasher Tablets Lemon are formulated with a powerful scrubbing action to remove tough spots and stains including pickle, beverage and dried-on food. These tablets have a built-in salt and rinse aid to leave glassware streak-free and dishes sparkling. It's very suitable for hard water areas, Phosphate-free and kinder to the environment. Probably the only thing that works harder is that we formulated our tablets with powerful cleaning action to remove even the toughest stains including beverages and dried-on food. With the added benefit of built-in salt and rinse aid, even suitable for hard water areas, glassware will be left streak-free and dishes sparkling.","All In One Max Dishwasher Tablets - Lemon Finish Cleaning & Household All Purpose Cleaners Finish All in One Max Dishwasher Tablets Lemon are formulated with a powerful scrubbing action to remove tough spots and stains including pickle, beverage and dried-on food. These tablets have a built-in salt and rinse aid to leave glassware streak-free and dishes sparkling. It's very suitable for hard water areas, Phosphate-free and kinder to the environment. Probably the only thing that works harder is that we formulated our tablets with powerful cleaning action to remove even the toughest stains including beverages and dried-on food. With the added benefit of built-in salt and rinse aid, even suitable for hard water areas, glassware will be left streak-free and dishes sparkling."
Fibre Rich Moong Dal Vada Mix,Tata Sampann,Snacks & Branded Foods,Ready To Cook & Eat,"With work consuming all our day and life getting increasingly hectic, one is often left with no time to cook something that is nutritious as well as delicious. Introducing Tata Sampann’s Ready To Cook products are rich in fibre and protein and amazing in taste. Made with unpolished moong dal flour, rice flour, and a finely balanced proportion of authentic spices, Moong Dal Vada Mix goes through stringent quality specifications to provide you the best quality and taste. Containing no added preservatives and colours this moong dal vada can be easily prepared in 15 minutes and is perfect for breakfast or evening snacks. So, whenever you are in the mood to cook something quick and yummy, dive into the scrumptious taste of moong dal vada mix and enjoy!
Explore Tata Sampann Mixes Range- Dosa, Khichdi, Idli, Moong Dal Vada, Moong Dal Chilla, and Multi Dal Chilla.
Also Try: Try ready to cook idli, khichdi, multi dal chilla, dosa, pakoda etc.","Fibre Rich Moong Dal Vada Mix Tata Sampann Snacks & Branded Foods Ready To Cook & Eat With work consuming all our day and life getting increasingly hectic, one is often left with no time to cook something that is nutritious as well as delicious. Introducing Tata Sampann’s Ready To Cook products are rich in fibre and protein and amazing in taste. Made with unpolished moong dal flour, rice flour, and a finely balanced proportion of authentic spices, Moong Dal Vada Mix goes through stringent quality specifications to provide you the best quality and taste. Containing no added preservatives and colours this moong dal vada can be easily prepared in 15 minutes and is perfect for breakfast or evening snacks. So, whenever you are in the mood to cook something quick and yummy, dive into the scrumptious taste of moong dal vada mix and enjoy!
Explore Tata Sampann Mixes Range- Dosa, Khichdi, Idli, Moong Dal Vada, Moong Dal Chilla, and Multi Dal Chilla.
Also Try: Try ready to cook idli, khichdi, multi dal chilla, dosa, pakoda etc."
Anar Pomegranate Fruit Juice,Paper Boat,Beverages,Fruit Juices & Drinks,"Originally from Iran, this princely fruit descended the Silk Route to our short break’s tiffin dabbas. Anar, we’ll have you know, is quite the old hat. So old, that its first sightings have been traced to the Bronze Age. Maybe that’s why it’s so good at beating aging. And today, its nectar has been painstakingly collected and presented to you without fuss, frills, pollutants or preservatives.
 It would be disservice to call it a mere drink. Anar, is liquid miracle.","Anar Pomegranate Fruit Juice Paper Boat Beverages Fruit Juices & Drinks Originally from Iran, this princely fruit descended the Silk Route to our short break’s tiffin dabbas. Anar, we’ll have you know, is quite the old hat. So old, that its first sightings have been traced to the Bronze Age. Maybe that’s why it’s so good at beating aging. And today, its nectar has been painstakingly collected and presented to you without fuss, frills, pollutants or preservatives.
 It would be disservice to call it a mere drink. Anar, is liquid miracle."
"Envelope - Cloth Lined, Green, 10 x 8 inches",Ravi,Cleaning & Household,Stationery,"Ravi Envelopes are made using eco-friendly materials and have an inner cloth lining. It is a must have in every office and home as it can be used for packaging paper documents and other flat items like letters, cards and cheques. These envelopes keep papers neat, safe and organised and are the ideal way to hand over paper documents.","Envelope - Cloth Lined, Green, 10 x 8 inches Ravi Cleaning & Household Stationery Ravi Envelopes are made using eco-friendly materials and have an inner cloth lining. It is a must have in every office and home as it can be used for packaging paper documents and other flat items like letters, cards and cheques. These envelopes keep papers neat, safe and organised and are the ideal way to hand over paper documents."
Dharwad Peda,Sangam Sweets,Snacks & Branded Foods,Indian Mithai,"Dharwad Peda is an authentic south Indian sweet. Origin from Uttar Pradesh & native of karnataka, it is sure to give your sweet cravings the most pleasing effect. This mouthwatering peda is garnished with sugar giving its traditional appeal.","Dharwad Peda Sangam Sweets Snacks & Branded Foods Indian Mithai Dharwad Peda is an authentic south Indian sweet. Origin from Uttar Pradesh & native of karnataka, it is sure to give your sweet cravings the most pleasing effect. This mouthwatering peda is garnished with sugar giving its traditional appeal."
Paneer - Garlic,Soyfit,"Bakery, Cakes & Dairy",Dairy,Made From Soyabean. Adding Natural Garlic & Pepper Powder Hgly Nutritious,"Paneer - Garlic Soyfit Bakery, Cakes & Dairy Dairy Made From Soyabean. Adding Natural Garlic & Pepper Powder Hgly Nutritious"
Nuggets - Chicken,Yummiez,Snacks & Branded Foods,Frozen Veggies & Snacks,"Yummiez Chicken nuggets are lightly breaded and fully fry. Our tender, juicy, Chicken Nuggets are made with fresh meat. Chicken Nuggets are made from easy ingredients and are free of chemical preservatives and fillers.","Nuggets - Chicken Yummiez Snacks & Branded Foods Frozen Veggies & Snacks Yummiez Chicken nuggets are lightly breaded and fully fry. Our tender, juicy, Chicken Nuggets are made with fresh meat. Chicken Nuggets are made from easy ingredients and are free of chemical preservatives and fillers."
"Lavender & Peppermint Soap - Cooling, Refreshing",Callesta,Beauty & Hygiene,Bath & Hand Wash,Callesta's Lavender Soap infused with peppermint oil keeps the body cool and pimple-free during summers. Added goat milk provides nourishment to the skin and keeps marks and pimples at bay.,"Lavender & Peppermint Soap - Cooling, Refreshing Callesta Beauty & Hygiene Bath & Hand Wash Callesta's Lavender Soap infused with peppermint oil keeps the body cool and pimple-free during summers. Added goat milk provides nourishment to the skin and keeps marks and pimples at bay."
Namkeen - Moong Dal,Parle,Snacks & Branded Foods,Snacks & Namkeen,"Parle fried namkeen moong dal best to munch for all the time. A lip-smacking delicious snack, Parle’s Namkeen is created to add excitement in your life. Quite irresistible!","Namkeen - Moong Dal Parle Snacks & Branded Foods Snacks & Namkeen Parle fried namkeen moong dal best to munch for all the time. A lip-smacking delicious snack, Parle’s Namkeen is created to add excitement in your life. Quite irresistible!"
Chickpeas,HappyChef,Gourmet & World Food,Tinned & Processed Food,"Make way for a tasty and healthy diet with Happy Chef's ready to use Chickpeas. Be assured of the best quality chickpeas in a can! These chickpeas are the perfect addition to your favourite sandwiches, salads & burgers. Make the authentic, smoothest & most luscious hummus with these canned chickpeas. Chickpeas are high in protein and make an excellent replacement for meat in vegetarian and vegan diets. They are also a rich source of vitamins, minerals and fibre, hence may offer a variety of health benefits, such as improving digestion, aiding weight management and reducing the risk of several diseases.
Features: No added preservatives","Chickpeas HappyChef Gourmet & World Food Tinned & Processed Food Make way for a tasty and healthy diet with Happy Chef's ready to use Chickpeas. Be assured of the best quality chickpeas in a can! These chickpeas are the perfect addition to your favourite sandwiches, salads & burgers. Make the authentic, smoothest & most luscious hummus with these canned chickpeas. Chickpeas are high in protein and make an excellent replacement for meat in vegetarian and vegan diets. They are also a rich source of vitamins, minerals and fibre, hence may offer a variety of health benefits, such as improving digestion, aiding weight management and reducing the risk of several diseases.
Features: No added preservatives"
Certified Organic Moringa Powder,Nutriorg,Gourmet & World Food,Cooking & Baking Needs,"Nutriorg certified organic moringa powder is sourced through organically grown and cultivated Moringa plant which is then dried and crushed to make a powder out of it. We use only organic ingredients to ensure you get the best out of organic products. All our organic products are certified under USDA certifications. Before the packaged product reaches you, each of our product lot undergoes laboratory tests to ensure it has the right ingredient mix which is organic, safe to use and hygienically prepared.","Certified Organic Moringa Powder Nutriorg Gourmet & World Food Cooking & Baking Needs Nutriorg certified organic moringa powder is sourced through organically grown and cultivated Moringa plant which is then dried and crushed to make a powder out of it. We use only organic ingredients to ensure you get the best out of organic products. All our organic products are certified under USDA certifications. Before the packaged product reaches you, each of our product lot undergoes laboratory tests to ensure it has the right ingredient mix which is organic, safe to use and hygienically prepared."
Mild Baby Shampoo,Mee Mee,Baby Care,Baby Bath & Hygiene,"Fearlessly lather your babys hair right from birth with Mee Mee mild baby shampoo which is tear free. Infused with natural extracts, it helps lock in the natural oils and is microbiologically tested to ensure a safe and happy bath time.","Mild Baby Shampoo Mee Mee Baby Care Baby Bath & Hygiene Fearlessly lather your babys hair right from birth with Mee Mee mild baby shampoo which is tear free. Infused with natural extracts, it helps lock in the natural oils and is microbiologically tested to ensure a safe and happy bath time."
Fructis - Long & Strong Strengthening Conditioner,Garnier,Beauty & Hygiene,Hair Care,"The Garnier Fructis Long and Strong Fortifying Cream Conditioner infuses every inch of your strand with nutrition and helps them stay smooth and long. This Fortifying Cream Conditioner can also be used by men who wish to flaunt healthy looking hair. With the Garnier Fructis Long and Strong Conditioner, you can give a miss to your scheduled haircut appointment at the salon as the main cause of hair breakage and split ends are addressed. You dont have to worry about your hair being too limp or unmanageable as this Long and Strong Cream Conditioner can be used on all hair types.","Fructis - Long & Strong Strengthening Conditioner Garnier Beauty & Hygiene Hair Care The Garnier Fructis Long and Strong Fortifying Cream Conditioner infuses every inch of your strand with nutrition and helps them stay smooth and long. This Fortifying Cream Conditioner can also be used by men who wish to flaunt healthy looking hair. With the Garnier Fructis Long and Strong Conditioner, you can give a miss to your scheduled haircut appointment at the salon as the main cause of hair breakage and split ends are addressed. You dont have to worry about your hair being too limp or unmanageable as this Long and Strong Cream Conditioner can be used on all hair types."
M170 Wireless Mouse,Logitech,Cleaning & Household,Stationery,"Logitech M170 wireless mouse is truly plugged and play. Just insert the receiver into a USB port on your computer and begin using it right away. There is no need to pair the mouse or to download software in order to begin using it. Comfortable and mobile. Reliable 2.4Ghz wireless. Strong, consistent wireless connection from distances up to 10-meters (33-feet) away. With virtually no delays or dropouts, you'll work and play with confidence. Tested to 10 meters, the wireless range may vary slightly based on your computing conditions and environment.","M170 Wireless Mouse Logitech Cleaning & Household Stationery Logitech M170 wireless mouse is truly plugged and play. Just insert the receiver into a USB port on your computer and begin using it right away. There is no need to pair the mouse or to download software in order to begin using it. Comfortable and mobile. Reliable 2.4Ghz wireless. Strong, consistent wireless connection from distances up to 10-meters (33-feet) away. With virtually no delays or dropouts, you'll work and play with confidence. Tested to 10 meters, the wireless range may vary slightly based on your computing conditions and environment."
Hair Gel Cool Hold,Vi-john,Beauty & Hygiene,Men's Grooming,Style Set is no ordinary hair gel. Its your perfect hair styling partner. Just a small amount can set your hair in the look you want while also making your hair smell good for hours.,Hair Gel Cool Hold Vi-john Beauty & Hygiene Men's Grooming Style Set is no ordinary hair gel. Its your perfect hair styling partner. Just a small amount can set your hair in the look you want while also making your hair smell good for hours.
Deo Tripack for Women - English Lavender + English Rose + Morning Dew,Yardley London,Beauty & Hygiene,Fragrances & Deos,Try the exciting tripack; Buy 2 Get 1 free of our Yardley Women Deo Series. Yardley English Lavender has been made with only the purest natural lavender oils; Yardley English Rose selects only the finest ingredients to create its unforgettable fragrances; Yardley Morning Dew exudes freshness that lingers from morning through the day.,Deo Tripack for Women - English Lavender + English Rose + Morning Dew Yardley London Beauty & Hygiene Fragrances & Deos Try the exciting tripack; Buy 2 Get 1 free of our Yardley Women Deo Series. Yardley English Lavender has been made with only the purest natural lavender oils; Yardley English Rose selects only the finest ingredients to create its unforgettable fragrances; Yardley Morning Dew exudes freshness that lingers from morning through the day.
Tea - English Breakfast,Typhoo,Beverages,Tea,"Typhoo English Breakfast tea is a traditional and unique blend of Assam orthodox and CTC teas. Created by our master blenders, this tea is famous world over for its rich taste, bright liquor with strengh& aroma to match. This malty, classic tea with oaky undertones is the perfect companion with breakfast and a refershing delight to enjoy, any time of the day.","Tea - English Breakfast Typhoo Beverages Tea Typhoo English Breakfast tea is a traditional and unique blend of Assam orthodox and CTC teas. Created by our master blenders, this tea is famous world over for its rich taste, bright liquor with strengh& aroma to match. This malty, classic tea with oaky undertones is the perfect companion with breakfast and a refershing delight to enjoy, any time of the day."
Oil - Kesh Kanti,Patanjali,Beauty & Hygiene,Hair Care,"Provide deep nourishment and strengthen the hair roots, prevent hair fall and dandruff, prevent graying hair and split ends. Useful in sleeplessness and headache.  For Beauty tips, tricks & more visit https://bigbasket.blog/","Oil - Kesh Kanti Patanjali Beauty & Hygiene Hair Care Provide deep nourishment and strengthen the hair roots, prevent hair fall and dandruff, prevent graying hair and split ends. Useful in sleeplessness and headache.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
Litchi Drink,Ala Fresh,Gourmet & World Food,Drinks & Beverages,"Ala Fresh Litchi Fruit Drink is a refreshing fruit drink from the land of beverages, Thailand. At a very affordable price, it delivers instant refreshment and is a very good option for parties and give-aways as well as for self hydration.","Litchi Drink Ala Fresh Gourmet & World Food Drinks & Beverages Ala Fresh Litchi Fruit Drink is a refreshing fruit drink from the land of beverages, Thailand. At a very affordable price, it delivers instant refreshment and is a very good option for parties and give-aways as well as for self hydration."
Chunky Salsa - Mild,Cornitos,Gourmet & World Food,"Sauces, Spreads & Dips","All natural, juicy red tomatoes, jalapenos, onion/garlic, bell peppers, no MSG","Chunky Salsa - Mild Cornitos Gourmet & World Food Sauces, Spreads & Dips All natural, juicy red tomatoes, jalapenos, onion/garlic, bell peppers, no MSG"
Tomato Chutney/ Dip - With No Added Preservatives,BHUIRA ,Gourmet & World Food,"Sauces, Spreads & Dips","Bhuira Tomato Chutney helps you savour your favourite snacks with the tang of tomato. The sweet-tangy combination of this dip is stupendously delicious. It is a sweet and tangy Indian condiment served with snacks, appetizers or with chaat. It is prepared from just ripe tomatoes is more acidic and spicy. This flavoursome dip or chutney goes well with almost any snacks. It has antioxidant, anti-inflammatory properties and numerous health benefits. Enjoy this tomato chutney with a sandwich, add it to chicken salad, idli, dosa, etc. It does not contain any added preservatives, synthetic colours or flavours.","Tomato Chutney/ Dip - With No Added Preservatives BHUIRA  Gourmet & World Food Sauces, Spreads & Dips Bhuira Tomato Chutney helps you savour your favourite snacks with the tang of tomato. The sweet-tangy combination of this dip is stupendously delicious. It is a sweet and tangy Indian condiment served with snacks, appetizers or with chaat. It is prepared from just ripe tomatoes is more acidic and spicy. This flavoursome dip or chutney goes well with almost any snacks. It has antioxidant, anti-inflammatory properties and numerous health benefits. Enjoy this tomato chutney with a sandwich, add it to chicken salad, idli, dosa, etc. It does not contain any added preservatives, synthetic colours or flavours."
"Premium Soft Diaper Pants - Large, Monthly Pack",Huggies,Baby Care,Diapers & Wipes,"Our softest for your softest. Introducing the Premium Soft Pants with the breakthrough Silky Cocoon design from Huggies. Its Cushion Waistband ensures a gentle, comfortable fit that helps prevent red marks and Silken Outer Cover Provides luxurious, silky softness. Your baby spends a good part of their day in a diaper. Therefore, choosing the right diaper for their tender and delicate skin is extremely important. And this is where, Huggies introduce the next generation product, India’s 1st diaper pants with the unique Bubble-Bed technology. This is so soft & fluffy that it feels like a bed against your baby’s bottom, keeping it extremely comfortable. Moreover, it absorbs the wetness and spreads it out evenly, keeping your little one's bottom dry.","Premium Soft Diaper Pants - Large, Monthly Pack Huggies Baby Care Diapers & Wipes Our softest for your softest. Introducing the Premium Soft Pants with the breakthrough Silky Cocoon design from Huggies. Its Cushion Waistband ensures a gentle, comfortable fit that helps prevent red marks and Silken Outer Cover Provides luxurious, silky softness. Your baby spends a good part of their day in a diaper. Therefore, choosing the right diaper for their tender and delicate skin is extremely important. And this is where, Huggies introduce the next generation product, India’s 1st diaper pants with the unique Bubble-Bed technology. This is so soft & fluffy that it feels like a bed against your baby’s bottom, keeping it extremely comfortable. Moreover, it absorbs the wetness and spreads it out evenly, keeping your little one's bottom dry."
